date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:44	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:06:43%20GMT	http://jeanarbo.com/robots.txt		(from )
15:06:44	47864/47864	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202019%2022:16:28%20GMT	http://jeanarbo.com/	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/index.html	(from )
15:06:44	3763/3763	---M--	200	added ('OK')	image/png	date:Fri,%2018%20May%202018%2020:53:34%20GMT	http://jeanarbo.com/img/favicon.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/favicon.png	(from http://jeanarbo.com/)
15:06:44	700/700	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202019%2001:23:54%20GMT	http://jeanarbo.com/css/plugins.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins.css	(from http://jeanarbo.com/)
15:06:45	22287/22287	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202019%2001:24:06%20GMT	http://jeanarbo.com/css/style.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/style.css	(from http://jeanarbo.com/)
15:06:45	5106/5106	---M--	200	added ('OK')	image/png	date:Thu,%2024%20May%202018%2002:24:12%20GMT	http://jeanarbo.com/img/logo-sml4.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/logo-sml4.png	(from http://jeanarbo.com/)
15:06:58	100381/100381	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202019%2000:27:00%20GMT	http://jeanarbo.com/img/portfolio/amandakbig.jpg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/amandakbig.jpg	(from http://jeanarbo.com/)
15:07:12	79642/79642	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202019%2001:00:00%20GMT	http://jeanarbo.com/img/portfolio/meditationappbig.jpg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/meditationappbig.jpg	(from http://jeanarbo.com/)
15:07:16	188344/188344	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20May%202018%2000:20:32%20GMT	http://jeanarbo.com/img/portfolio/brandingex2.jpg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/brandingex2.jpg	(from http://jeanarbo.com/)
15:07:22	38254/38254	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202019%2001:04:54%20GMT	http://jeanarbo.com/img/portfolio/wikisearchappbig.jpg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/wikisearchappbig.jpg	(from http://jeanarbo.com/)
